period,number
2026103,661
2026102,420
2026101,584
2026100,414
2026099,877
2026098,513
2026097,818
2026096,689
2026095,022
2026094,418
2026093,518
2026092,870
2026091,537
2026090,816
2026089,922
2026088,608
2026087,911
2026086,382
2026085,118
2026084,456
2026083,506
2026082,942
2026081,827
2026080,802
2026079,233
2026078,049
2026077,112
2026076,863
2026075,816
2026074,487
2026073,504
2026072,245
2026071,261
2026070,484
2026069,908
2026068,706
2026067,695
2026066,934
2026065,057
2026064,604
2026063,517
2026062,294
2026061,429
2026060,943
2026059,794
2026058,543
2026057,264
2026056,477
2026055,107
2026054,217
2026053,755
2026052,277
2026051,302
2026050,689
2026049,110
2026048,612
2026047,936
2026046,291
2026045,181
2026044,589
2026043,765
2026042,854
2026041,901
2026040,425
2026039,450
2026038,467
2026037,420
2026036,762
2026035,213
2026034,052
2026033,119
2026032,452
2026031,142
2026030,134
2026029,003
2026028,270
2026027,126
2026026,099
2026025,029
2026024,911
2026023,784
2026022,678
2026021,559
2026020,676
2026019,223
2026018,494
2026017,945
2026016,582
2026015,532
2026014,050
2026013,513
2026012,241
2026011,647
2026010,667
2026009,265
2026008,252
2026007,353
2026006,244
2026005,476
2026004,019
2026003,601
2026002,520
2026001,298
2025351,452
2025350,580
2025349,743
2025348,278
2025347,192
2025346,897
2025345,630
2025344,622
2025343,645
2025342,681
2025341,996
2025340,130
2025339,676
2025338,689
2025337,876
2025336,641
2025335,051
2025334,198
2025333,273
2025332,885
2025331,050
2025330,062
2025329,564
2025328,040
2025327,789
2025326,185
2025325,165
2025324,661
2025323,551
2025322,226
2025321,847
2025320,121
2025319,294
2025318,430
2025317,301
2025316,775
2025315,729
2025314,917
2025313,664
2025312,689
2025311,640
2025310,169
2025309,190
2025308,448
2025307,164
2025306,697
2025305,310
2025304,471
2025303,933
2025302,715
2025301,755
2025300,867
2025299,385
2025298,544
2025297,051
2025296,537
2025295,273
2025294,513
2025293,154
2025292,117
2025291,794
2025290,332
2025289,473
2025288,767
2025287,805
2025286,827
2025285,172
2025284,844
2025283,664
2025282,416
2025281,897
2025280,411
2025279,752
2025278,629
2025277,061
2025276,714
2025275,203
2025274,596
2025273,045
2025272,967
2025271,727
2025270,408
2025269,055
2025268,674
2025267,391
2025266,723
2025265,546
2025264,734
2025263,399
2025262,914
2025261,751
2025260,199
2025259,625
2025258,626
2025257,860
2025256,406
2025255,264
2025254,072
2025253,457
2025252,792
2025251,868
2025250,902
2025249,952
2025248,526
2025247,262
2025246,997
2025245,848
2025244,673
2025243,176
2025242,990
2025241,160
2025240,419
2025239,125
2025238,860
2025237,590
2025236,355
2025235,969
2025234,620
2025233,259
2025232,044
2025231,732
2025230,439
2025229,108
2025228,465
2025227,611
2025226,180
2025225,806
2025224,990
2025223,736
2025222,010
2025221,296
2025220,536
2025219,900
2025218,526
2025217,894
2025216,625
2025215,853
2025214,920
2025213,381
2025212,456
2025211,897
2025210,520
2025209,387
2025208,432
2025207,255
2025206,444
2025205,920
2025204,007
2025203,013
2025202,953
2025201,846
2025200,015
2025199,943
2025198,898
2025197,057
2025196,734
2025195,980
2025194,726
2025193,876
2025192,691
2025191,202
2025190,402
2025189,907
2025188,018
2025187,761
2025186,227
2025185,164
2025184,799
2025183,744
2025182,708
2025181,886
2025180,260
2025179,280
2025178,728
2025177,497
2025176,122
2025175,616
2025174,533
2025173,092
2025172,406
2025171,113
2025170,475
2025169,978
2025168,514
2025167,702
2025166,808
2025165,609
2025164,337
2025163,636
2025162,275
2025161,748
2025160,503
2025159,073
2025158,701
2025157,969
2025156,775
2025155,499
2025154,923
2025153,069
2025152,210
2025151,718
2025150,321
2025149,734
2025148,838
2025147,321
2025146,897
2025145,267
2025144,666
2025143,256
2025142,916
2025141,202
2025140,149
2025139,598
2025138,296
2025137,838
2025136,113
2025135,458
2025134,748
2025133,645
2025132,689
2025131,203
2025130,204
2025129,915
2025128,814
2025127,431
2025126,320
2025125,351
2025124,809
2025123,725
2025122,488
2025121,120
2025120,912
2025119,315
2025118,621
2025117,849
2025116,320
2025115,206
2025114,375
2025113,635
2025112,954
2025111,270
2025110,914
2025109,841
2025108,407
2025107,027
2025106,752
2025105,015
2025104,877
2025103,370
2025102,161
2025101,016
2025100,953
2025099,707
2025098,714
2025097,542
2025096,385
2025095,068
2025094,649
2025093,545
2025092,317
2025091,135
2025090,159
2025089,658
2025088,022
2025087,826
2025086,388
2025085,338
2025084,030
2025083,915
2025082,417
2025081,403
2025080,500
2025079,657
2025078,000
2025077,625
2025076,781
2025075,709
2025074,419
2025073,778
2025072,272
2025071,434
2025070,748
2025069,906
2025068,555
2025067,385
2025066,720
2025065,538
2025064,928
2025063,405
2025062,810
2025061,476
2025060,938
2025059,847
2025058,405
2025057,397
2025056,492
2025055,368
2025054,497
2025053,895
2025052,585
2025051,905
2025050,806
2025049,004
2025048,640
2025047,248
2025046,490
2025045,554
2025044,912
2025043,475
2025042,775
2025041,401
2025040,428
2025039,932
2025038,847
2025037,131
2025036,617
2025035,778
2025034,261
2025033,606
2025032,499
2025031,379
2025030,302
2025029,096
2025028,409
2025027,383
2025026,588
2025025,486
2025024,762
2025023,591
2025022,638
2025021,468
2025020,056
2025019,710
2025018,836
2025017,027
2025016,104
2025015,942
2025014,679
2025013,606
2025012,487
2025011,518
2025010,333
2025009,416
2025008,260
2025007,141
2025006,898
2025005,085
2025004,634
2025003,214
2025002,916
2025001,703
2024352,292
2024351,657
2024350,672
2024349,108
2024348,928
2024347,392
2024346,056
2024345,317
2024344,305
2024343,214
2024342,483
2024341,371
2024340,278
2024339,509
2024338,977
2024337,843
2024336,964
2024335,593
2024334,541
2024333,951
2024332,765
2024331,964
2024330,167
2024329,910
2024328,306
2024327,280
2024326,722
2024325,158
2024324,384
2024323,536
2024322,867
2024321,542
2024320,778
2024319,726
2024318,525
2024317,386
2024316,789
2024315,802
2024314,672
2024313,095
2024312,754
2024311,067
2024310,603
2024309,539
2024308,654
2024307,579
2024306,296
2024305,966
2024304,169
2024303,336
2024302,516
2024301,435
2024300,666
2024299,949
2024298,055
2024297,372
2024296,816
2024295,571
2024294,364
2024293,521
2024292,462
2024291,426
2024290,911
2024289,989
2024288,839
2024287,192
2024286,621
2024285,718
2024284,342
2024283,419
2024282,983
2024281,900
2024280,248
2024279,060
2024278,221
2024277,684
2024276,086
2024275,827
2024274,172
2024273,833
2024272,275
2024271,795
2024270,699
2024269,388
2024268,931
2024267,227
2024266,390
2024265,245
2024264,710
2024263,292
2024262,465
2024261,766
2024260,926
2024259,249
2024258,077
2024257,199
2024256,749
2024255,096
2024254,409
2024253,274
2024252,086
2024251,156
2024250,253
2024249,449
2024248,861
2024247,783
2024246,710
2024245,741
2024244,863
2024243,955
2024242,623
2024241,470
2024240,065
2024239,524
2024238,469
2024237,274
2024236,512
2024235,492
2024234,715
2024233,397
2024232,012
2024231,938
2024230,497
2024229,911
2024228,298
2024227,312
2024226,380
2024225,884
2024224,560
2024223,773
2024222,564
2024221,103
2024220,414
2024219,305
2024218,467
2024217,405
2024216,444
2024215,483
2024214,365
2024213,009
2024212,089
2024211,054
2024210,449
2024209,676
2024208,281
2024207,892
2024206,818
2024205,651
2024204,390
2024203,172
2024202,552
2024201,843
2024200,309
2024199,147
2024198,710
2024197,224
2024196,056
2024195,725
2024194,137
2024193,681
2024192,676
2024191,382
2024190,410
2024189,530
2024188,956
2024187,380
2024186,579
2024185,306
2024184,933
2024183,443
2024182,884
2024181,230
2024180,918
2024179,005
2024178,581
2024177,460
2024176,108
2024175,488
2024174,236
2024173,449
2024172,908
2024171,480
2024170,225
2024169,402
2024168,752
2024167,220
2024166,397
2024165,145
2024164,354
2024163,304
2024162,164
2024161,468
2024160,690
2024159,212
2024158,821
2024157,126
2024156,180
2024155,411
2024154,834
2024153,287
2024152,848
2024151,765
2024150,356
2024149,153
2024148,426
2024147,225
2024146,180
2024145,756
2024144,816
2024143,955
2024142,813
2024141,256
2024140,536
2024139,748
2024138,955
2024137,982
2024136,227
2024135,035
2024134,640
2024133,741
2024132,652
2024131,069
2024130,066
2024129,067
2024128,573
2024127,214
2024126,323
2024125,649
2024124,787
2024123,183
2024122,708
2024121,289
2024120,549
2024119,508
2024118,343
2024117,989
2024116,851
2024115,099
2024114,075
2024113,242
2024112,630
2024111,206
2024110,506
2024109,181
2024108,432
2024107,062
2024106,127
2024105,976
2024104,579
2024103,984
2024102,339
2024101,594
2024100,936
2024099,190
2024098,620
2024097,389
2024096,129
2024095,257
2024094,679
2024093,647
2024092,071
2024091,564
2024090,890
2024089,457
2024088,761
2024087,797
2024086,532
2024085,490
2024084,219
2024083,899
2024082,920
2024081,108
2024080,775
2024079,931
2024078,397
2024077,336
2024076,655
2024075,254
2024074,041
2024073,258
2024072,977
2024071,213
2024070,671
2024069,451
2024068,642
2024067,709
2024066,198
2024065,469
2024064,009
2024063,349
2024062,377
2024061,406
2024060,897
2024059,758
2024058,469
2024057,805
2024056,542
2024055,589
2024054,192
2024053,478
2024052,310
2024051,340
2024050,634
2024049,811
2024048,128
2024047,420
2024046,730
2024045,406
2024044,363
2024043,257
2024042,086
2024041,315
2024040,736
2024039,228
2024038,676
2024037,460
2024036,265
2024035,045
2024034,856
2024033,945
2024032,995
2024031,060
2024030,935
2024029,094
2024028,662
2024027,849
2024026,149
2024025,749
2024024,473
2024023,247
2024022,285
2024021,446
2024020,868
2024019,953
2024018,430
2024017,659
2024016,920
2024015,438
2024014,251
2024013,468
2024012,590
2024011,927
2024010,437
2024009,265
2024008,423
2024007,633
2024006,212
2024005,806
2024004,705
2024003,729
2024002,669
2024001,218
